t,rate
2013-12-05,8.4035
2013-12-06,8.434
2013-12-09,8.4285
2013-12-10,8.4015
2013-12-11,8.4215
2013-12-12,8.4765
2013-12-13,8.49
2013-12-16,8.4345
2013-12-17,8.46
2013-12-18,8.3795
2013-12-19,8.383
2013-12-20,8.416
2013-12-23,8.3975
2013-12-27,8.4475
2013-12-30,8.4255
2013-12-31,8.3825
2014-01-02,8.4025
2014-01-03,8.3585
2014-01-06,8.39
2014-01-07,8.385
2014-01-08,8.411
2014-01-09,8.4075
2014-01-10,8.4025
2014-01-13,8.362
2014-01-14,8.334
2014-01-15,8.3185
2014-01-16,8.389
2014-01-17,8.3795
2014-01-20,8.3775
2014-01-21,8.372
2014-01-22,8.3655
2014-01-23,8.3325
2014-01-24,8.3915
2014-01-27,8.438
2014-01-28,8.405
2014-01-29,8.438
2014-01-30,8.468
2014-01-31,8.511
2014-02-03,8.4525
2014-02-04,8.52
2014-02-05,8.458
2014-02-06,8.4
2014-02-07,8.412
2014-02-10,8.358
2014-02-11,8.368
2014-02-12,8.332
2014-02-13,8.3365
2014-02-14,8.355
2014-02-17,8.32
2014-02-18,8.343
2014-02-19,8.3185
2014-02-20,8.3625
2014-02-21,8.367
2014-02-24,8.278
2014-02-25,8.288
2014-02-26,8.307
2014-02-27,8.2735
2014-02-28,8.275
2014-03-03,8.3175
2014-03-04,8.2485
2014-03-05,8.2305
2014-03-06,8.2265
2014-03-07,8.278
2014-03-10,8.282
2014-03-11,8.2385
2014-03-12,8.287
2014-03-13,8.2575
2014-03-14,8.3075
2014-03-17,8.28
2014-03-18,8.305
2014-03-19,8.3175
2014-03-20,8.3705
2014-03-21,8.3695
2014-03-24,8.3495
2014-03-25,8.34
2014-03-26,8.332
2014-03-27,8.2655
2014-03-28,8.2455
2014-03-31,8.255
2014-04-01,8.227
2014-04-02,8.215
2014-04-03,8.23
2014-04-04,8.2125
2014-04-07,8.2405
2014-04-08,8.236
2014-04-09,8.2195
2014-04-10,8.216
2014-04-11,8.2605
2014-04-14,8.24
2014-04-15,8.2295
2014-04-16,8.23
2014-04-22,8.2615
2014-04-23,8.2715
2014-04-24,8.2785
2014-04-25,8.2845
2014-04-28,8.3145
2014-04-29,8.281
2014-04-30,8.272
2014-05-02,8.2355
