"07849: Registrerte kjøretøy, etter region, år og drivstofftype"
"region";"Personbiler 2008 Bensin";"Personbiler 2008 Diesel";"Personbiler 2008 Parafin";"Personbiler 2008 Gass";"Personbiler 2008 El.";"Personbiler 2008 Annet drivstoff";"Personbiler 2009 Bensin";"Personbiler 2009 Diesel";"Personbiler 2009 Parafin";"Personbiler 2009 Gass";"Personbiler 2009 El.";"Personbiler 2009 Annet drivstoff";"Personbiler 2010 Bensin";"Personbiler 2010 Diesel";"Personbiler 2010 Parafin";"Personbiler 2010 Gass";"Personbiler 2010 El.";"Personbiler 2010 Annet drivstoff";"Personbiler 2011 Bensin";"Personbiler 2011 Diesel";"Personbiler 2011 Parafin";"Personbiler 2011 Gass";"Personbiler 2011 El.";"Personbiler 2011 Annet drivstoff";"Personbiler 2012 Bensin";"Personbiler 2012 Diesel";"Personbiler 2012 Parafin";"Personbiler 2012 Gass";"Personbiler 2012 El.";"Personbiler 2012 Annet drivstoff";"Personbiler 2013 Bensin";"Personbiler 2013 Diesel";"Personbiler 2013 Parafin";"Personbiler 2013 Gass";"Personbiler 2013 El.";"Personbiler 2013 Annet drivstoff";"Personbiler 2014 Bensin";"Personbiler 2014 Diesel";"Personbiler 2014 Parafin";"Personbiler 2014 Gass";"Personbiler 2014 El.";"Personbiler 2014 Annet drivstoff";"Personbiler 2015 Bensin";"Personbiler 2015 Diesel";"Personbiler 2015 Parafin";"Personbiler 2015 Gass";"Personbiler 2015 El.";"Personbiler 2015 Annet drivstoff";"Personbiler 2016 Bensin";"Personbiler 2016 Diesel";"Personbiler 2016 Parafin";"Personbiler 2016 Gass";"Personbiler 2016 El.";"Personbiler 2016 Annet drivstoff";"Personbiler 2017 Bensin";"Personbiler 2017 Diesel";"Personbiler 2017 Parafin";"Personbiler 2017 Gass";"Personbiler 2017 El.";"Personbiler 2017 Annet drivstoff";"Personbiler 2018 Bensin";"Personbiler 2018 Diesel";"Personbiler 2018 Parafin";"Personbiler 2018 Gass";"Personbiler 2018 El.";"Personbiler 2018 Annet drivstoff";"Personbiler 2019 Bensin";"Personbiler 2019 Diesel";"Personbiler 2019 Parafin";"Personbiler 2019 Gass";"Personbiler 2019 El.";"Personbiler 2019 Annet drivstoff";"Personbiler 2020 Bensin";"Personbiler 2020 Diesel";"Personbiler 2020 Parafin";"Personbiler 2020 Gass";"Personbiler 2020 El.";"Personbiler 2020 Annet drivstoff";"Personbiler 2021 Bensin";"Personbiler 2021 Diesel";"Personbiler 2021 Parafin";"Personbiler 2021 Gass";"Personbiler 2021 El.";"Personbiler 2021 Annet drivstoff";"Personbiler 2022 Bensin";"Personbiler 2022 Diesel";"Personbiler 2022 Parafin";"Personbiler 2022 Gass";"Personbiler 2022 El.";"Personbiler 2022 Annet drivstoff";"Personbiler 2023 Bensin";"Personbiler 2023 Diesel";"Personbiler 2023 Parafin";"Personbiler 2023 Gass";"Personbiler 2023 El.";"Personbiler 2023 Annet drivstoff";"Personbiler 2024 Bensin";"Personbiler 2024 Diesel";"Personbiler 2024 Parafin";"Personbiler 2024 Gass";"Personbiler 2024 El.";"Personbiler 2024 Annet drivstoff";"Personbiler 2025 Bensin";"Personbiler 2025 Diesel";"Personbiler 2025 Parafin";"Personbiler 2025 Gass";"Personbiler 2025 El.";"Personbiler 2025 Annet drivstoff"
"K-3101 Halden";10639;2649;1;0;0;0;10457;3220;1;0;0;0;10157;3923;1;0;0;0;9700;4668;1;0;5;0;9440;5257;1;0;11;2;9158;5731;1;0;29;10;8763;6262;1;0;82;4;8532;6778;1;1;162;3;7948;7197;1;1;244;410;7571;7632;1;0;361;669;7266;7838;1;0;512;824;7112;7952;1;0;757;1020;6821;7862;0;1;1070;1255;6359;7608;0;1;1693;1527;6035;7240;0;1;2342;1726;5710;6928;0;1;2759;2009;5416;6546;0;1;3409;2212;5138;6121;0;1;4885;2436
"K-3103 Moss";15202;3911;0;0;3;0;14777;4762;0;0;2;1;14185;5756;0;0;2;1;13592;6791;0;0;14;1;13246;7590;0;0;35;1;12944;8308;0;1;111;16;12578;8973;0;1;307;8;12367;9609;0;1;557;9;11472;9913;0;1;754;803;11079;10055;0;1;1071;1209;10516;9967;0;1;1467;1613;10323;9908;0;1;2057;2006;9706;9406;0;2;2810;2491;9210;8931;0;3;4031;3060;8705;8533;0;2;5363;3414;8176;8006;0;2;6227;3766;7652;7456;0;2;7244;4012;7247;6887;0;2;9922;4628
"K-3105 Sarpsborg";19927;4793;0;0;2;0;19376;5835;0;0;1;0;18459;7061;0;0;2;0;17532;8289;0;1;12;1;16844;9433;0;0;19;3;16350;10351;0;0;57;22;15736;11231;0;0;157;10;15299;12179;0;0;304;9;14209;12749;0;0;485;766;13608;13224;0;0;684;1153;12977;13408;0;0;1038;1486;12710;13508;0;0;1553;1902;12043;13309;0;0;2336;2481;11582;12893;0;0;3677;3001;11022;12352;0;0;5010;3436;10320;11716;0;0;6192;3836;9483;10772;0;0;7540;4078;8976;10059;0;0;10455;4346
"K-3107 Fredrikstad";26281;6325;0;1;7;1;25548;7638;0;2;8;2;24744;9206;0;2;6;4;23781;10831;0;2;20;3;23041;12241;0;2;36;9;22343;13446;0;1;114;47;21600;14596;0;1;315;25;21171;15694;0;1;650;25;19540;16239;0;1;1028;1439;18900;16574;0;7;1490;2150;17847;16503;0;7;2268;2725;17242;16214;1;7;3519;3324;15649;15497;2;7;5549;3897;14577;14691;2;7;7958;4493;13612;13796;2;7;10237;4976;12665;12956;1;7;11550;5392;11864;12190;1;7;13077;5867;11282;11398;1;6;16813;6268
"K-3110 Hvaler";1407;427;0;0;0;0;1361;525;0;0;0;0;1318;646;0;0;0;0;1273;733;0;0;0;0;1261;817;0;0;2;0;1256;917;0;0;7;2;1227;996;0;0;21;2;1198;1041;0;0;56;2;1080;1084;0;0;85;96;1018;1086;0;0;129;138;965;1094;0;0;185;174;961;1091;0;0;245;210;873;1044;0;0;336;267;841;957;0;0;492;322;772;911;0;0;633;355;715;837;0;0;734;392;650;769;0;0;843;404;638;662;0;0;1056;429
"K-3112 Råde";2568;858;0;0;0;0;2538;988;0;0;0;0;2412;1183;0;0;0;0;2296;1362;0;0;0;0;2231;1546;0;0;2;1;2137;1670;0;0;12;3;2098;1829;0;0;44;2;2020;1942;0;0;89;2;1889;2011;0;0;128;114;1799;2132;0;0;183;176;1748;2215;0;0;241;220;1663;2094;0;0;315;268;1529;2023;0;0;431;350;1452;1991;0;0;627;401;1370;1894;0;0;834;447;1318;1787;0;0;984;491;1228;1728;0;0;1129;518;1171;1641;0;0;1437;576
"K-3114 Våler (Østfold)";1623;602;0;0;0;0;1519;718;0;0;0;0;1504;825;0;0;0;0;1460;973;0;0;1;0;1473;1078;0;0;3;0;1449;1214;0;0;5;0;1404;1331;0;0;21;2;1362;1420;0;0;54;3;1340;1474;0;0;79;84;1311;1563;0;0;128;128;1250;1591;0;0;176;174;1271;1594;0;0;263;228;1197;1559;0;0;367;285;1148;1483;0;0;514;343;1055;1356;0;0;688;388;1007;1279;0;0;809;423;957;1236;0;0;952;467;921;1159;0;0;1183;482
"K-3116 Skiptvet";1253;398;0;0;0;0;1232;468;0;0;0;0;1208;539;0;0;0;0;1164;640;0;0;0;0;1132;729;0;0;2;0;1084;824;0;0;2;1;1066;903;0;0;7;0;1053;996;0;0;20;0;976;1036;0;0;38;51;913;1114;0;0;58;74;877;1163;0;0;85;88;861;1185;0;0;104;106;796;1175;0;0;145;144;766;1130;0;1;212;194;718;1086;0;1;277;227;692;1072;0;0;327;242;675;1018;0;0;409;269;656;957;0;0;542;277
"K-3118 Indre Østfold";15141;4614;0;0;3;0;14720;5449;0;0;3;0;14340;6392;1;0;4;1;13855;7363;1;0;12;1;13497;8266;1;0;33;2;13339;9080;1;0;71;16;12962;9851;0;0;195;7;12611;10617;0;0;414;7;11823;11065;0;0;584;674;11383;11380;0;0;904;1048;10855;11654;0;0;1280;1315;10656;11853;0;1;1745;1661;9927;11612;0;2;2350;2013;9581;11416;0;2;3269;2453;9161;10975;0;2;4199;2787;8798;10552;0;2;4821;3175;8459;9963;0;0;5505;3438;8197;9416;0;0;7130;3660
"K-3120 Rakkestad";2847;980;0;0;1;0;2752;1100;0;0;1;0;2668;1277;0;0;2;0;2549;1491;0;0;3;0;2439;1651;0;0;3;0;2373;1845;0;0;6;1;2320;2033;0;0;19;1;2271;2205;0;0;39;2;2162;2320;0;0;54;94;2095;2440;0;0;76;146;1981;2548;0;0;114;194;1950;2613;0;0;155;241;1875;2569;0;0;227;304;1776;2605;0;0;350;393;1687;2500;0;0;505;445;1638;2375;0;0;653;506;1599;2240;0;0;795;583;1490;2151;0;0;1100;625
