"07496: Standpunktkarakterer, etter fag, kjønn, foreldrenes utdanningsnivå, år og region"
"fag";"kjønn";"foreldrenes utdanningsnivå";"Gjennomsnittlig standpunktkarakter 2026 31 Østfold";"Gjennomsnittlig standpunktkarakter 2026 32 Akershus";"Gjennomsnittlig standpunktkarakter 2026 03 Oslo - Oslove";"Gjennomsnittlig standpunktkarakter 2026 34 Innlandet";"Gjennomsnittlig standpunktkarakter 2026 33 Buskerud";"Gjennomsnittlig standpunktkarakter 2026 39 Vestfold";"Gjennomsnittlig standpunktkarakter 2026 40 Telemark";"Gjennomsnittlig standpunktkarakter 2026 42 Agder";"Gjennomsnittlig standpunktkarakter 2026 11 Rogaland";"Gjennomsnittlig standpunktkarakter 2026 46 Vestland";"Gjennomsnittlig standpunktkarakter 2026 15 Møre og Romsdal";"Gjennomsnittlig standpunktkarakter 2026 50 Trøndelag - Trööndelage";"Gjennomsnittlig standpunktkarakter 2026 18 Nordland - Nordlánnda"
"Engelsk";"Begge kjønn";"Alle utdanningsnivå";4.2;4.4;4.5;4.1;4.2;4.1;4.1;4.2;4.3;4.3;4.2;4.2;4.2
"Engelsk";"Begge kjønn";"Grunnskole eller ingen fullført utdanning";3.8;3.7;3.8;3.6;3.8;3.5;3.4;3.4;3.6;3.5;3.6;3.3;3.6
"Engelsk";"Begge kjønn";"Videregåendeskole-nivå eller påbygging videregående";3.9;4.0;4.0;3.8;4.0;3.8;3.8;3.9;4.0;4.0;4.0;3.8;4.0
"Engelsk";"Begge kjønn";"Universitets- og høgskolenivå, 4 år eller mindre";4.4;4.4;4.5;4.3;4.3;4.2;4.2;4.3;4.4;4.3;4.2;4.3;4.3
"Engelsk";"Begge kjønn";"Universitets- og høgskolenivå, mer enn 4 år";4.7;4.7;4.8;4.6;4.6;4.5;4.5;4.5;4.7;4.7;4.5;4.6;4.7
"Engelsk";"Begge kjønn";"Uoppgitt";3.6;3.7;3.6;3.6;3.7;3.4;3.1;3.7;3.8;3.6;3.8;3.1;3.4
"Engelsk";"Jenter";"Alle utdanningsnivå";4.4;4.6;4.7;4.3;4.4;4.2;4.3;4.3;4.5;4.5;4.4;4.4;4.4
"Engelsk";"Jenter";"Grunnskole eller ingen fullført utdanning";4.0;3.9;4.0;4.0;4.0;3.6;3.6;3.7;3.9;3.7;3.8;3.5;3.7
"Engelsk";"Jenter";"Videregåendeskole-nivå eller påbygging videregående";4.1;4.2;4.3;4.0;4.2;4.0;4.0;4.1;4.2;4.2;4.2;4.0;4.2
"Engelsk";"Jenter";"Universitets- og høgskolenivå, 4 år eller mindre";4.6;4.6;4.7;4.4;4.5;4.4;4.5;4.5;4.6;4.5;4.5;4.4;4.5
"Engelsk";"Jenter";"Universitets- og høgskolenivå, mer enn 4 år";4.9;4.9;5.0;4.7;4.7;4.6;4.8;4.7;4.9;4.8;4.7;4.8;4.9
"Engelsk";"Jenter";"Uoppgitt";4.1;3.9;3.9;3.9;3.5;3.6;..;3.7;4.0;4.1;4.0;3.2;3.5
"Engelsk";"Gutter";"Alle utdanningsnivå";4.0;4.2;4.3;3.9;4.1;4.0;3.9;4.0;4.1;4.1;4.0;4.0;4.0
"Engelsk";"Gutter";"Grunnskole eller ingen fullført utdanning";3.5;3.5;3.6;3.1;3.5;3.3;3.3;3.2;3.3;3.3;3.4;3.2;3.4
"Engelsk";"Gutter";"Videregåendeskole-nivå eller påbygging videregående";3.8;3.8;3.8;3.6;3.8;3.7;3.6;3.7;3.8;3.8;3.7;3.6;3.8
"Engelsk";"Gutter";"Universitets- og høgskolenivå, 4 år eller mindre";4.2;4.3;4.2;4.1;4.1;4.0;4.1;4.1;4.1;4.2;4.0;4.1;4.2
"Engelsk";"Gutter";"Universitets- og høgskolenivå, mer enn 4 år";4.5;4.6;4.7;4.4;4.5;4.4;4.3;4.4;4.5;4.5;4.4;4.4;4.4
"Engelsk";"Gutter";"Uoppgitt";3.1;3.6;3.3;3.3;3.9;3.1;..;..;3.6;3.2;3.7;3.0;3.3
"Engelsk, skriftlig";"Begge kjønn";"Alle utdanningsnivå";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Begge kjønn";"Grunnskole eller ingen fullført utdanning";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Begge kjønn";"Videregåendeskole-nivå eller påbygging videregående";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Begge kjønn";"Universitets- og høgskolenivå, 4 år eller mindre";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Begge kjønn";"Universitets- og høgskolenivå, mer enn 4 år";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Begge kjønn";"Uoppgitt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Jenter";"Alle utdanningsnivå";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Jenter";"Grunnskole eller ingen fullført utdanning";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Jenter";"Videregåendeskole-nivå eller påbygging videregående";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Jenter";"Universitets- og høgskolenivå, 4 år eller mindre";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Jenter";"Universitets- og høgskolenivå, mer enn 4 år";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Jenter";"Uoppgitt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Gutter";"Alle utdanningsnivå";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Gutter";"Grunnskole eller ingen fullført utdanning";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Gutter";"Videregåendeskole-nivå eller påbygging videregående";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Gutter";"Universitets- og høgskolenivå, 4 år eller mindre";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Gutter";"Universitets- og høgskolenivå, mer enn 4 år";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
"Engelsk, skriftlig";"Gutter";"Uoppgitt";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
