"07498: Eksamenskarakterer, etter fag, kjønn, år og foreldrenes utdanningsnivå"
"fag";"kjønn";"Gjennomsnittlig eksamenskarakter 2026 Alle utdanningsnivå";"Gjennomsnittlig eksamenskarakter 2026 Grunnskole eller ingen fullført utdanning";"Gjennomsnittlig eksamenskarakter 2026 Videregåendeskole-nivå eller påbygging videregående";"Gjennomsnittlig eksamenskarakter 2026 Universitets- og høgskolenivå, 4 år eller mindre";"Gjennomsnittlig eksamenskarakter 2026 Universitets- og høgskolenivå, mer enn 4 år";"Gjennomsnittlig eksamenskarakter 2026 Uoppgitt";"Elever 2026 Alle utdanningsnivå";"Elever 2026 Grunnskole eller ingen fullført utdanning";"Elever 2026 Videregåendeskole-nivå eller påbygging videregående";"Elever 2026 Universitets- og høgskolenivå, 4 år eller mindre";"Elever 2026 Universitets- og høgskolenivå, mer enn 4 år";"Elever 2026 Uoppgitt"
"Engelsk, skriftlig";"Begge kjønn";4.1;3.5;3.8;4.2;4.6;3.3;21006;1558;5756;7951;5522;219
"Engelsk, skriftlig";"Jenter";4.2;3.6;3.9;4.3;4.6;3.5;10170;775;2776;3893;2622;104
"Engelsk, skriftlig";"Gutter";4.0;3.4;3.7;4.1;4.5;3.1;10836;783;2980;4058;2900;115
"Engelsk, muntlig";"Begge kjønn";4.6;4.1;4.4;4.7;5.0;4.3;9815;746;2810;3684;2475;100
"Engelsk, muntlig";"Jenter";4.8;4.3;4.5;4.8;5.1;4.5;4721;370;1322;1786;1191;52
"Engelsk, muntlig";"Gutter";4.5;3.9;4.2;4.6;4.8;4.1;5094;376;1488;1898;1284;48
"Matematikk, skriftlig";"Begge kjønn";3.5;2.4;2.9;3.6;4.2;2.9;19641;1280;5334;7559;5256;212
"Matematikk, skriftlig";"Jenter";3.4;2.4;2.9;3.5;4.1;2.8;9531;644;2584;3633;2570;100
"Matematikk, skriftlig";"Gutter";3.5;2.4;2.9;3.6;4.2;2.9;10110;636;2750;3926;2686;112
"Matematikk, muntlig";"Begge kjønn";0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
"Matematikk, muntlig";"Jenter";0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
"Matematikk, muntlig";"Gutter";0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
"Matematikk, muntlig-praktisk";"Begge kjønn";4.2;3.3;3.8;4.2;4.7;3.6;6980;433;1780;2671;2023;73
"Matematikk, muntlig-praktisk";"Jenter";4.3;3.5;3.9;4.3;4.7;3.9;3252;204;832;1244;940;32
"Matematikk, muntlig-praktisk";"Gutter";4.1;3.1;3.7;4.2;4.6;3.4;3728;229;948;1427;1083;41
"Naturfag, muntlig";"Begge kjønn";0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
"Naturfag, muntlig";"Jenter";0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
"Naturfag, muntlig";"Gutter";0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;0
"Naturfag, muntlig-praktisk";"Begge kjønn";4.3;3.5;3.9;4.5;4.8;3.6;5619;418;1522;2116;1512;51
"Naturfag, muntlig-praktisk";"Jenter";4.4;3.7;4.0;4.6;4.9;3.7;2703;213;736;1007;718;29
"Naturfag, muntlig-praktisk";"Gutter";4.2;3.3;3.8;4.3;4.8;3.6;2916;205;786;1109;794;22
"Norsk hovedmål, skriftlig";"Begge kjønn";3.5;2.8;3.2;3.6;3.9;2.7;18716;1276;5163;7227;4928;122
"Norsk hovedmål, skriftlig";"Jenter";3.8;3.1;3.4;3.9;4.2;2.9;9239;661;2573;3584;2361;60
"Norsk hovedmål, skriftlig";"Gutter";3.2;2.5;2.9;3.3;3.7;2.5;9477;615;2590;3643;2567;62
"Norsk sidemål, skriftlig";"Begge kjønn";3.5;2.9;3.2;3.6;3.8;3.2;14773;794;3917;5890;4127;45
"Norsk sidemål, skriftlig";"Jenter";3.7;3.2;3.4;3.8;4.1;3.5;7463;435;2006;2985;2008;29
"Norsk sidemål, skriftlig";"Gutter";3.3;2.6;2.9;3.3;3.6;2.6;7310;359;1911;2905;2119;16
"Norsk, muntlig";"Begge kjønn";4.5;3.7;4.1;4.6;4.9;3.7;10583;717;2948;4122;2727;69
"Norsk, muntlig";"Jenter";4.7;3.9;4.4;4.9;5.2;3.8;5311;376;1498;2080;1313;44
"Norsk, muntlig";"Gutter";4.2;3.5;3.8;4.3;4.7;3.6;5272;341;1450;2042;1414;25
"Kristendom, religion, livssyn og etikk, muntlig";"Begge kjønn";4.4;3.8;4.0;4.5;4.9;3.8;6442;499;1839;2432;1604;68
"Kristendom, religion, livssyn og etikk, muntlig";"Jenter";4.7;4.1;4.3;4.8;5.1;3.8;3211;271;911;1215;782;32
"Kristendom, religion, livssyn og etikk, muntlig";"Gutter";4.2;3.6;3.8;4.3;4.7;3.8;3231;228;928;1217;822;36
"Samfunnsfag, muntlig";"Begge kjønn";4.5;3.8;4.1;4.6;5.0;3.6;9060;746;2624;3429;2156;105
"Samfunnsfag, muntlig";"Jenter";4.6;3.9;4.2;4.7;5.1;3.6;4344;361;1261;1675;1009;38
"Samfunnsfag, muntlig";"Gutter";4.3;3.7;4.0;4.4;4.9;3.6;4716;385;1363;1754;1147;67
