"07500: Eksamenskarakterer, etter fag, innvandringskategori, år og kjønn"
"fag";"innvandringskategori";"Gjennomsnittlig eksamenskarakter 2026 Begge kjønn";"Gjennomsnittlig eksamenskarakter 2026 Jenter";"Gjennomsnittlig eksamenskarakter 2026 Gutter"
"Engelsk, skriftlig";"Alle elever";4.1;4.2;4.0
"Engelsk, skriftlig";"Innvandrere";3.6;3.8;3.5
"Engelsk, skriftlig";"Innvandrere fra EU/EFTA, USA, Canada, Australia og New Zealand";4.2;4.4;4.1
"Engelsk, skriftlig";"Innvandrere fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";3.4;3.5;3.3
"Engelsk, skriftlig";"Norskfødte med innvandrerforeldre";4.1;4.3;4.0
"Engelsk, skriftlig";"Norskfødte med innvandrerforeldre fra EU/EFTA, USA, Canada, Australia og New Zealand";4.3;4.4;4.1
"Engelsk, skriftlig";"Norskfødte med innvandrerforeldre fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";4.1;4.3;3.9
"Engelsk, skriftlig";"Den øvrige befolkning";4.2;4.3;4.1
"Engelsk, muntlig";"Alle elever";4.6;4.8;4.5
"Engelsk, muntlig";"Innvandrere";4.4;4.5;4.3
"Engelsk, muntlig";"Innvandrere fra EU/EFTA, USA, Canada, Australia og New Zealand";4.8;5.0;4.7
"Engelsk, muntlig";"Innvandrere fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";4.2;4.2;4.1
"Engelsk, muntlig";"Norskfødte med innvandrerforeldre";4.7;4.9;4.5
"Engelsk, muntlig";"Norskfødte med innvandrerforeldre fra EU/EFTA, USA, Canada, Australia og New Zealand";4.8;4.9;4.7
"Engelsk, muntlig";"Norskfødte med innvandrerforeldre fra Asia, Afrika, Latin-Amerika, Oseania unntatt Australia og New Zealand, og Europa utenom EU/EFTA";4.6;4.9;4.4
"Engelsk, muntlig";"Den øvrige befolkning";4.6;4.8;4.5
"Matematikk, skriftlig";"Alle elever";3.5;3.4;3.5
"Matematikk, skriftlig";"Innvandrere";2.9;2.9;3.0
