"07501: Eksamens- og standpunktkarakterer, utvalgte fag, etter fag, foreldrenes utdanningsnivå, år og eierforhold"
"fag";"foreldrenes utdanningsnivå";"Gjennomsnittlig karakter 2009 I alt";"Gjennomsnittlig karakter 2009 Offentlig";"Gjennomsnittlig karakter 2009 Privat";"Gjennomsnittlig karakter 2010 I alt";"Gjennomsnittlig karakter 2010 Offentlig";"Gjennomsnittlig karakter 2010 Privat";"Gjennomsnittlig karakter 2011 I alt";"Gjennomsnittlig karakter 2011 Offentlig";"Gjennomsnittlig karakter 2011 Privat";"Gjennomsnittlig karakter 2012 I alt";"Gjennomsnittlig karakter 2012 Offentlig";"Gjennomsnittlig karakter 2012 Privat";"Gjennomsnittlig karakter 2013 I alt";"Gjennomsnittlig karakter 2013 Offentlig";"Gjennomsnittlig karakter 2013 Privat";"Gjennomsnittlig karakter 2014 I alt";"Gjennomsnittlig karakter 2014 Offentlig";"Gjennomsnittlig karakter 2014 Privat";"Gjennomsnittlig karakter 2015 I alt";"Gjennomsnittlig karakter 2015 Offentlig";"Gjennomsnittlig karakter 2015 Privat";"Gjennomsnittlig karakter 2016 I alt";"Gjennomsnittlig karakter 2016 Offentlig";"Gjennomsnittlig karakter 2016 Privat";"Gjennomsnittlig karakter 2017 I alt";"Gjennomsnittlig karakter 2017 Offentlig";"Gjennomsnittlig karakter 2017 Privat";"Gjennomsnittlig karakter 2018 I alt";"Gjennomsnittlig karakter 2018 Offentlig";"Gjennomsnittlig karakter 2018 Privat";"Gjennomsnittlig karakter 2019 I alt";"Gjennomsnittlig karakter 2019 Offentlig";"Gjennomsnittlig karakter 2019 Privat";"Gjennomsnittlig karakter 2020 I alt";"Gjennomsnittlig karakter 2020 Offentlig";"Gjennomsnittlig karakter 2020 Privat";"Gjennomsnittlig karakter 2021 I alt";"Gjennomsnittlig karakter 2021 Offentlig";"Gjennomsnittlig karakter 2021 Privat";"Gjennomsnittlig karakter 2022 I alt";"Gjennomsnittlig karakter 2022 Offentlig";"Gjennomsnittlig karakter 2022 Privat";"Gjennomsnittlig karakter 2023 I alt";"Gjennomsnittlig karakter 2023 Offentlig";"Gjennomsnittlig karakter 2023 Privat";"Gjennomsnittlig karakter 2024 I alt";"Gjennomsnittlig karakter 2024 Offentlig";"Gjennomsnittlig karakter 2024 Privat";"Gjennomsnittlig karakter 2025 I alt";"Gjennomsnittlig karakter 2025 Offentlig";"Gjennomsnittlig karakter 2025 Privat";"Gjennomsnittlig karakter 2026 I alt";"Gjennomsnittlig karakter 2026 Offentlig";"Gjennomsnittlig karakter 2026 Privat";"Elever 2009 I alt";"Elever 2009 Offentlig";"Elever 2009 Privat";"Elever 2010 I alt";"Elever 2010 Offentlig";"Elever 2010 Privat";"Elever 2011 I alt";"Elever 2011 Offentlig";"Elever 2011 Privat";"Elever 2012 I alt";"Elever 2012 Offentlig";"Elever 2012 Privat";"Elever 2013 I alt";"Elever 2013 Offentlig";"Elever 2013 Privat";"Elever 2014 I alt";"Elever 2014 Offentlig";"Elever 2014 Privat";"Elever 2015 I alt";"Elever 2015 Offentlig";"Elever 2015 Privat";"Elever 2016 I alt";"Elever 2016 Offentlig";"Elever 2016 Privat";"Elever 2017 I alt";"Elever 2017 Offentlig";"Elever 2017 Privat";"Elever 2018 I alt";"Elever 2018 Offentlig";"Elever 2018 Privat";"Elever 2019 I alt";"Elever 2019 Offentlig";"Elever 2019 Privat";"Elever 2020 I alt";"Elever 2020 Offentlig";"Elever 2020 Privat";"Elever 2021 I alt";"Elever 2021 Offentlig";"Elever 2021 Privat";"Elever 2022 I alt";"Elever 2022 Offentlig";"Elever 2022 Privat";"Elever 2023 I alt";"Elever 2023 Offentlig";"Elever 2023 Privat";"Elever 2024 I alt";"Elever 2024 Offentlig";"Elever 2024 Privat";"Elever 2025 I alt";"Elever 2025 Offentlig";"Elever 2025 Privat";"Elever 2026 I alt";"Elever 2026 Offentlig";"Elever 2026 Privat"
"Engelsk, standpunkt";"Alle utdanningsnivå";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4.3;4.3;4.5;4.2;4.2;4.5;4.3;4.2;4.6;4.2;4.2;4.5;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;59140;56584;2556;60722;57822;2900;61591;58742;2849;60967;58019;2948
"Engelsk, standpunkt";"Ikke universitets- og høgskolenivå";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3.9;3.9;4.0;3.9;3.9;4.1;3.9;3.9;4.2;3.9;3.9;4.1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;21704;21052;652;21737;21072;665;21763;21140;623;21005;20322;683
"Engelsk, standpunkt";"Universitets- og høgskoleutdanning";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4.5;4.5;4.6;4.5;4.5;4.6;4.5;4.5;4.7;4.5;4.5;4.6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;36436;34548;1888;37665;35449;2216;38948;36739;2209;39344;37092;2252
"Engelsk, standpunkt";"Uoppgitt";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3.5;3.5;4.3;3.4;3.4;3.9;3.5;3.5;4.1;3.6;3.6;3.9;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1000;984;16;1320;1301;19;880;863;17;618;605;13
"Engelsk skriftlig, standpunkt";"Alle utdanningsnivå";3.8;3.8;4.1;3.8;3.8;4.1;3.9;3.9;4.3;3.9;3.9;4.3;3.9;3.9;4.2;4.0;3.9;4.2;3.9;3.9;4.1;3.9;3.9;4.2;3.9;3.9;4.1;4.0;4.0;4.2;4.0;4.0;4.2;4.1;4.1;4.3;4.1;4.1;4.4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;59559;58317;1242;59313;57987;1326;60256;58876;1380;61330;59921;1409;60443;59033;1410;59095;57633;1462;59886;58413;1473;59865;58231;1634;57390;55833;1557;56610;54931;1679;57845;55984;1861;58447;56371;2076;58162;55805;2357;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Engelsk skriftlig, standpunkt";"Ikke universitets- og høgskolenivå";3.5;3.5;3.8;3.6;3.6;3.8;3.6;3.6;3.9;3.6;3.6;3.9;3.6;3.6;3.7;3.6;3.6;3.8;3.6;3.6;3.7;3.6;3.6;3.9;3.6;3.6;3.6;3.7;3.6;3.7;3.6;3.6;3.8;3.7;3.7;3.9;3.8;3.8;4.0;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;31807;31360;447;31140;30634;506;30856;30383;473;30559;30057;502;29738;29270;468;28194;27697;497;27623;27148;475;26775;26228;547;24621;24152;469;23345;22855;490;23134;22580;554;22627;22045;582;22197;21594;603;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Engelsk skriftlig, standpunkt";"Universitets- og høgskoleutdanning";4.2;4.2;4.3;4.2;4.2;4.4;4.2;4.2;4.4;4.2;4.2;4.5;4.2;4.2;4.4;4.3;4.3;4.4;4.2;4.2;4.4;4.2;4.2;4.4;4.2;4.2;4.3;4.3;4.3;4.4;4.3;4.3;4.4;4.4;4.4;4.5;4.4;4.4;4.6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;25785;25010;775;26313;25508;805;27569;26697;872;28842;27969;873;29673;28751;922;29930;28985;945;31189;30209;980;31941;30872;1069;31652;30578;1074;31929;30753;1176;33296;32007;1289;34403;32924;1479;35016;33275;1741;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Engelsk skriftlig, standpunkt";"Uoppgitt";3.1;3.1;4.2;3.1;3.1;3.6;3.3;3.3;4.6;3.3;3.3;4.3;3.3;3.3;4.7;3.3;3.3;4.7;3.4;3.4;4.7;3.4;3.4;4.4;3.2;3.1;4.2;3.0;3.0;4.4;3.2;3.2;3.3;3.3;3.3;4.1;3.3;3.3;3.4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1967;1947;20;1860;1845;15;1831;1796;35;1929;1895;34;1032;1012;20;971;951;20;1074;1056;18;1149;1131;18;1117;1103;14;1336;1323;13;1415;1397;18;1417;1402;15;949;936;13;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Engelsk skriftlig, eksamen";"Alle utdanningsnivå";3.8;3.8;4.0;3.8;3.8;3.9;3.8;3.8;4.1;3.8;3.8;4.1;3.8;3.8;4.0;3.7;3.7;4.0;3.7;3.7;3.9;3.6;3.6;3.8;3.8;3.8;3.9;3.7;3.7;3.8;3.8;3.7;3.9;..;..;..;..;..;..;..;..;..;3.7;3.7;3.9;3.8;3.8;4.0;4.0;4.0;4.1;4.1;4.1;4.3;19502;19100;402;20424;20037;387;20527;20055;472;17990;17435;555;19961;19461;500;19881;19459;422;20164;19552;612;19941;19457;484;19081;18507;574;19429;18874;555;19001;18334;667;..;..;..;..;..;..;..;..;..;20464;19643;821;20790;19676;1114;20932;19947;985;21006;20012;994
"Engelsk skriftlig, eksamen";"Ikke universitets- og høgskolenivå";3.5;3.5;3.7;3.5;3.5;3.5;3.5;3.5;3.7;3.5;3.5;3.7;3.5;3.5;3.5;3.4;3.4;3.7;3.4;3.4;3.4;3.2;3.2;3.3;3.5;3.5;3.3;3.4;3.4;3.2;3.4;3.4;3.6;..;..;..;..;..;..;..;..;..;3.4;3.4;3.5;3.4;3.4;3.5;3.6;3.6;3.9;3.7;3.7;3.9;10415;10265;150;10644;10499;145;10543;10396;147;9099;8913;186;9840;9674;166;9551;9404;147;9317;9121;196;8977;8831;146;8198;8026;172;7906;7737;169;7591;7397;194;..;..;..;..;..;..;..;..;..;7652;7462;190;7516;7264;252;7519;7280;239;7314;7084;230
